index,bin start,count
0,0.000,234191
1,124.219,0
2,248.438,0
3,372.656,0
4,496.875,0
5,621.094,0
6,745.312,0
7,869.531,0
8,993.750,0
9,1117.969,0
10,1242.188,0
11,1366.406,0
12,1490.625,0
13,1614.844,0
14,1739.062,0
15,1863.281,0
16,1987.500,0
17,2111.719,0
18,2235.938,0
19,2360.156,0
20,2484.375,0
21,2608.594,0
22,2732.812,0
23,2857.031,0
24,2981.250,0
25,3105.469,0
26,3229.688,0
27,3353.906,0
28,3478.125,0
29,3602.344,0
30,3726.562,1
31,3850.781,0
32,3975.000,0
33,4099.219,1
34,4223.438,0
35,4347.656,1
36,4471.875,1
37,4596.094,0
38,4720.312,0
39,4844.531,4
40,4968.750,2
41,5092.969,2
42,5217.188,1
43,5341.406,1
44,5465.625,7
45,5589.844,7
46,5714.062,6
47,5838.281,3
48,5962.500,9
49,6086.719,7
50,6210.938,9
51,6335.156,12
52,6459.375,5
53,6583.594,12
54,6707.812,11
55,6832.031,12
56,6956.250,16
57,7080.469,20
58,7204.688,29
59,7328.906,31
60,7453.125,31
61,7577.344,31
62,7701.562,34
63,7825.781,41
64,7950.000,60
65,8074.219,56
66,8198.438,80
67,8322.656,84
68,8446.875,114
69,8571.094,119
70,8695.312,165
71,8819.531,199
72,8943.750,210
73,9067.969,250
74,9192.188,304
75,9316.406,390
76,9440.625,434
77,9564.844,575
78,9689.062,628
79,9813.281,751
80,9937.500,966
81,10061.719,1229
82,10185.938,1356
83,10310.156,1737
84,10434.375,2086
85,10558.594,2610
86,10682.812,3336
87,10807.031,4064
88,10931.250,4929
89,11055.469,6101
90,11179.688,7388
91,11303.906,9245
92,11428.125,11130
93,11552.344,13459
94,11676.562,15547
95,11800.781,18143
96,11925.000,20854
97,12049.219,22774
98,12173.438,24913
99,12297.656,27134
100,12421.875,28889
101,12546.094,29498
102,12670.312,30595
103,12794.531,30627
104,12918.750,30100
105,13042.969,28900
106,13167.188,27015
107,13291.406,25500
108,13415.625,23586
109,13539.844,21156
110,13664.062,18531
111,13788.281,16289
112,13912.500,13945
113,14036.719,11820
114,14160.938,10030
115,14285.156,8194
116,14409.375,6868
117,14533.594,5564
118,14657.812,4588
119,14782.031,3924
120,14906.250,3199
121,15030.469,2683
122,15154.688,2253
123,15278.906,2005
124,15403.125,1661
125,15527.344,1534
126,15651.562,1416
127,15775.781,1309
128,15900.000,1209
129,16024.219,1107
130,16148.438,1055
131,16272.656,1065
132,16396.875,1030
133,16521.094,1004
134,16645.312,914
135,16769.531,899
136,16893.750,863
137,17017.969,859
138,17142.188,835
139,17266.406,860
140,17390.625,766
141,17514.844,727
142,17639.062,731
143,17763.281,715
144,17887.500,761
145,18011.719,742
146,18135.938,738
147,18260.156,719
148,18384.375,709
149,18508.594,740
150,18632.812,719
151,18757.031,708
152,18881.250,721
153,19005.469,751
154,19129.688,791
155,19253.906,796
156,19378.125,775
157,19502.344,769
158,19626.562,756
159,19750.781,834
160,19875.000,850
161,19999.219,876
162,20123.438,883
163,20247.656,885
164,20371.875,890
165,20496.094,963
166,20620.312,1017
167,20744.531,1058
168,20868.750,1127
169,20992.969,1092
170,21117.188,1268
171,21241.406,1302
172,21365.625,1476
173,21489.844,1516
174,21614.062,1579
175,21738.281,1673
176,21862.500,1747
177,21986.719,1822
178,22110.938,1963
179,22235.156,2164
180,22359.375,2249
181,22483.594,2242
182,22607.812,2307
183,22732.031,2500
184,22856.250,2631
185,22980.469,2607
186,23104.688,2554
187,23228.906,2627
188,23353.125,2693
189,23477.344,2680
190,23601.562,2638
191,23725.781,2559
192,23850.000,2562
193,23974.219,2528
194,24098.438,2419
195,24222.656,2315
196,24346.875,2299
197,24471.094,2121
198,24595.312,2074
199,24719.531,1894
200,24843.750,1783
201,24967.969,1608
202,25092.188,1481
203,25216.406,1439
204,25340.625,1268
205,25464.844,1190
206,25589.062,1069
207,25713.281,942
208,25837.500,893
209,25961.719,830
210,26085.938,763
211,26210.156,606
212,26334.375,582
213,26458.594,544
214,26582.812,464
215,26707.031,467
216,26831.250,376
217,26955.469,343
218,27079.688,302
219,27203.906,271
220,27328.125,261
221,27452.344,230
222,27576.562,205
223,27700.781,197
224,27825.000,186
225,27949.219,172
226,28073.438,141
227,28197.656,117
228,28321.875,110
229,28446.094,101
230,28570.312,80
231,28694.531,63
232,28818.750,69
233,28942.969,51
234,29067.188,50
235,29191.406,41
236,29315.625,28
237,29439.844,20
238,29564.062,19
239,29688.281,14
240,29812.500,13
241,29936.719,17
242,30060.938,8
243,30185.156,11
244,30309.375,3
245,30433.594,5
246,30557.812,0
247,30682.031,4
248,30806.250,2
249,30930.469,0
250,31054.688,0
251,31178.906,2
252,31303.125,0
253,31427.344,2
254,31551.562,0
255,31675.781,2
